,regressor,r1,r2,r3
0,Mean_TemperatureC,7757741.9595,0.1783,0.1783
1,Mean_Humidity,10604247.8509,0.2437,0.2437
2,Precipitationmm,7297515.9079,0.1677,0.1677
3,Events,8270514.6743,0.1901,0.1901
