,store,r1,r2,r3
0,122,0.4421,0.0542,0.0542
1,209,0.5077,0.0526,0.0526
2,310,0.7448,0.0637,0.0637
3,433,0.5825,0.0671,0.0671
4,453,0.4458,0.0519,0.0519
5,524,0.5434,0.058,0.058
6,530,0.3396,0.0527,0.0527
7,732,0.409,0.0465,0.0465
8,863,0.4735,0.0565,0.0565
9,877,0.4052,0.0561,0.0561
10,931,0.5693,0.069,0.069
11,1045,0.3993,0.0484,0.0484
12,1099,0.5178,0.065,0.065
