,store,r1,r2,r3
0,122,5247.6738,0.1239,0.1239
1,209,4284.9234,0.1174,0.1174
2,310,9040.5072,0.1652,0.1652
3,433,4904.5898,0.1433,0.1433
4,453,5987.829,0.1172,0.1172
5,524,6979.2775,0.1387,0.1387
6,530,4067.8389,0.1308,0.1308
7,732,4276.6843,0.1124,0.1124
8,863,6247.4292,0.1234,0.1234
9,877,5080.7972,0.1344,0.1344
10,931,2694.8942,0.1159,0.1159
11,1045,5211.8164,0.1057,0.1057
12,1099,6197.8802,0.121,0.121
