,store,r1,r2,r3
0,122,0.4516,0.0554,0.0554
1,209,0.5186,0.0537,0.0537
2,310,0.7562,0.0647,0.0647
3,433,0.5906,0.0681,0.0681
4,453,0.4515,0.0526,0.0526
5,524,0.5595,0.0597,0.0597
6,530,0.3406,0.0529,0.0529
7,732,0.4252,0.0484,0.0484
8,863,0.4809,0.0574,0.0574
9,877,0.4144,0.0574,0.0574
10,931,0.578,0.07,0.07
11,1045,0.4039,0.049,0.049
12,1099,0.5193,0.0652,0.0652
